PassengerId,Survived,SibSp,Parch,Isfemale,Age_fill,Ischild,Fare_fill,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
1,0,1,0.0,0,0.741556445594596,0,0.2251258595483755,0,0,1,0,0,1
2,1,1,0.0,1,1.2913665998815995,0,2.2134778184751327,1,0,0,1,0,0
3,1,0,0.0,1,0.8790089841663469,0,0.24608585336839664,0,0,1,0,0,1
4,1,1,0.0,1,1.1882771959527865,0,1.6488528471749984,0,0,1,1,0,0
5,0,0,0.0,0,1.1882771959527865,0,0.24996733370543764,0,0,1,0,0,1
6,0,0,0.0,0,1.0164615227380978,0,0.2626458010783482,0,1,0,0,0,1
7,0,0,0.0,0,1.841176754168603,0,1.6104261918382927,0,0,1,1,0,0
8,0,3,2.6205882352941177,0,0.054293752735841604,1,0.6544175848251053,0,0,1,0,0,1
9,1,0,5.241176470588235,1,0.9133721188092846,0,0.34570948029102466,0,0,1,0,0,1
10,1,1,0.0,1,0.4666513684510943,0,0.9337537513527295,1,0,0,0,1,0
11,1,1,2.6205882352941177,1,0.12302002202171705,1,0.5185657730286718,0,0,1,0,0,1
12,1,0,0.0,1,1.978629292740354,0,0.8244264235874992,0,0,1,1,0,0
13,0,0,0.0,0,0.6728301763087206,0,0.24996733370543764,0,0,1,0,0,1
14,0,1,13.102941176470589,0,1.3257297345245374,0,0.9711463803276473,0,0,1,0,0,1
15,0,0,0.0,1,0.4666513684510943,0,0.24388738290549664,0,0,1,0,0,1
16,1,0,0.0,1,1.8755398888115409,0,0.4968294831412424,0,0,1,0,1,0
17,0,4,2.6205882352941177,0,0.054293752735841604,1,0.9043849185305429,0,1,0,0,0,1
18,1,0,0.0,0,1.3944560038104128,0,0.4036739550522595,0,0,1,0,1,0
19,0,1,0.0,1,1.0508246573810356,0,0.5589331685338977,0,0,1,0,0,1
20,1,0,0.0,1,0.8446458495234092,0,0.22434956348096727,1,0,0,0,0,1
21,0,0,0.0,0,1.1882771959527865,0,0.807347910104519,0,0,1,0,1,0
22,1,0,0.0,0,1.1539140613098486,0,0.4036739550522595,0,0,1,0,1,0
23,1,0,0.0,1,0.501014503094032,0,0.24932145537735398,0,1,0,0,0,1
24,1,0,0.0,0,0.9477352534522223,0,1.1023404157196317,0,0,1,1,0,0
25,0,3,2.6205882352941177,1,0.26047256059346796,1,0.6544175848251053,0,0,1,0,0,1
26,1,1,13.102941176470589,1,1.2913665998815995,0,0.9746397126309841,0,0,1,0,0,1
27,0,0,0.0,0,1.257003465238662,0,0.22434956348096727,1,0,0,0,0,1
28,0,3,5.241176470588235,0,0.6384670416657828,0,8.166634629134172,0,0,1,1,0,0
29,1,0,0.0,1,0.9133721188092846,0,0.24466367897290484,0,1,0,0,0,1
30,0,0,0.0,0,1.0508246573810356,0,0.2451791395616639,0,0,1,0,0,1
31,0,0,0.0,0,1.360092869167475,0,0.8607819210163596,1,0,0,1,0,0
32,1,1,0.0,1,0.9133721188092846,0,4.549740833340085,1,0,0,1,0,0
33,1,0,0.0,1,1.0164615227380978,0,0.2406517808965393,0,1,0,0,0,1
34,0,0,0.0,0,2.2535343698838557,0,0.32604434831144036,0,0,1,0,1,0
35,0,1,0.0,0,0.9477352534522223,0,2.5515547558314005,1,0,0,1,0,0
36,0,1,0.0,0,1.4288191384533504,0,1.614695820209038,0,0,1,1,0,0
37,1,0,0.0,0,1.4288191384533504,0,0.22447998122029186,1,0,0,0,0,1
38,0,0,0.0,0,0.7071933109516583,0,0.24996733370543764,0,0,1,0,0,1
39,0,2,0.0,1,0.6041039070228451,0,0.5589331685338977,0,0,1,0,0,1
40,1,1,0.0,1,0.4666513684510943,0,0.34907550003930654,1,0,0,0,0,1
41,0,1,0.0,1,1.360092869167475,0,0.2942162095477045,0,0,1,0,0,1
42,0,1,0.0,1,0.9133721188092846,0,0.6520886966228807,0,0,1,0,1,0
43,0,0,0.0,0,0.5697407723799074,0,0.2451791395616639,1,0,0,0,0,1
44,1,1,5.241176470588235,1,0.08865688737877933,1,1.2911107778391469,1,0,0,0,1,0
45,1,0,0.0,1,0.6384670416657828,0,0.24466367897290484,0,1,0,0,0,1
46,0,0,0.0,0,1.0164615227380978,0,0.24996733370543764,0,0,1,0,0,1
47,0,1,0.0,0,1.257003465238662,0,0.4813035617930786,0,1,0,0,0,1
48,1,0,0.0,1,0.8446458495234092,0,0.2406517808965393,0,1,0,0,0,1
49,0,2,0.0,0,1.222640330595724,0,0.6731791081822265,1,0,0,0,0,1
50,0,1,0.0,1,0.6041039070228451,0,0.5527227999946323,0,0,1,0,0,1
51,0,4,2.6205882352941177,0,0.2261094259505302,1,1.2323700070105037,0,0,1,0,0,1
52,0,0,0.0,0,0.7071933109516583,0,0.2422043730313557,0,0,1,0,0,1
53,1,1,0.0,1,1.6693610809539146,0,2.382583048615064,1,0,0,1,0,0
54,1,1,0.0,1,0.98209838809516,0,0.807347910104519,0,0,1,0,1,0
55,0,0,2.6205882352941177,0,2.219171235240918,0,1.9245683688442308,1,0,0,1,0,0
56,1,0,0.0,0,0.8102827148804714,0,1.1023404157196317,0,0,1,1,0,0
57,1,0,0.0,1,0.7071933109516583,0,0.32604434831144036,0,0,1,0,1,0
58,0,0,0.0,0,0.9649168207736912,0,0.22447998122029186,1,0,0,0,0,1
59,1,1,5.241176470588235,1,0.15738315666465477,1,0.8616886348230923,0,0,1,0,1,0
60,0,5,5.241176470588235,0,0.3635619645222811,1,1.4563314224577668,0,0,1,0,0,1
